,Name,Address,AvgRatingText,TotalReviews,TotalFavourites,TotalViews,TotalPictures,TotalCheckIns,Url,Latitude,Longitude,ResCreatedOn,điểm chất lượng,điểm phục vụ,điểm không gian,điểm giá cả,điểm vị trí,thời gian mở,thời gian đóng,khoảng giá,Tổng bình luận,bình luyện tuyệt vời,bình luận tốt,bình luận trung bình,bình luận kém,Tên nhà hàng,Khoảng giá khác,Thời gian hoạt động,Thích hợp,Giờ nhận khách cuối,Thời gian chuẩn bị,Nghỉ lễ,Thể loại,Sức chứa,Phong cách ẩm thực,Phù hợp với,Phục vụ các món,Website,Có wifi,Có giao hàng,Có máy lạnh & điều hòa,Cho mua về,Trả bằng thẻ,Có chỗ đậu ôtô,Nên đặt trước,Có bàn ngoài trời,Có phòng riêng,Có chỗ chơi cho trẻ em,Có karaoke,Giữ xe máy miễn phí,Tip cho nhân viên,Có khu vực hút thuốc,Có thẻ thành viên,Có xuất hóa đơn đỏ,Có hỗ trợ hội thảo,Có lò sưởi,Có hỗ trợ người khuyết tật,Có chiếu bóng đá,Có nhạc sống
10,Buffet Sen - Khu Văn Hoá Ẩm Thực Sen Tây Hồ,"614 Lạc Long Quân, Quận Tây Hồ, Hà Nội",7.6,375,0,0,2715,0,/ha-noi/sen-tay-ho-lac-long-quan,21.0743322293202,105.815166141014,0001-12-31T17:00:00Z,8.2,7.8,7.7,7.4,7.1,10:00,23:00,38.000đ - 2.820.000đ,375.0,34.0,270.0,56.0,15.0,sen-tay-ho-lac-long-quan,,10:00 - 23:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",10:30 PM,Khoảng 15 - 20 phút,Tết Nguyên Đán,['Nhà hàng'],1000 người lớn,['Món Việt'],"['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Tiếp khách', 'Ăn chay', 'Buffet', 'Tiệc ngoài trời', 'Tổ chức tiệc cưới', 'Ngắm cảnh', 'Nghe nhạc']","['Thịt Gà', 'Thịt Bò', 'Bún', 'Thịt Heo', 'Hải sản', 'Món nước', 'Mì', 'Lẩu', 'Miến', 'Thịt Vịt', 'Dimsum', 'Món chay']",,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
11,Luna D’Autunno - Món Ý - Nam Ngư,"27 Nam Ngư, Quận Hoàn Kiếm, Hà Nội",7.7,35,0,0,169,0,/ha-noi/luna-d-autunno-nam-ngu,21.026443,105.842579,0001-12-31T17:00:00Z,8.1,7.9,7.9,7.7,6.8,11:00,23:00,200.000đ - 330.000đ,35.0,5.0,23.0,7.0,0.0,luna-d-autunno-nam-ngu,,11:00 - 23:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",10:30 PM,Khoảng 15 - 20 phút,Các ngày lễ trong năm,['Nhà hàng'],300 người lớn,['Ý'],"['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Tiếp khách', 'Giao tận nơi', 'Ngắm cảnh', 'Nghe nhạc', 'Tiếp khách sang trọng']",,www.lunadautunno.vn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
12,Nhà Hàng Tuyết Thanh - Kim Đồng,"24 Kim Đồng, Quận Hoàng Mai, Hà Nội",7.2,4,0,0,37,0,/ha-noi/nha-hang-tuyet-thanh-kim-dong,20.993084,105.849505,0001-12-31T17:00:00Z,8.3,7.8,7.5,7.5,5.0,08:00,21:30,200.000đ - 330.000đ,4.0,1.0,1.0,2.0,0.0,nha-hang-tuyet-thanh-kim-dong,,08:00 - 21:30,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",20:30,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],500 người lớn,['Món Việt'],"['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Uống bia - Nhậu', 'Họp nhóm', 'Tiếp khách', 'BBQ - Món Nướng', 'Tiệc tận nơi', 'Ngắm cảnh', 'Du lịch', 'Nghe nhạc', 'Tiếp khách sang trọng']","['Thịt Gà', 'Tôm', 'Cua - Ghẹ', 'Thịt Bò', 'Thịt Heo', 'Hải sản', 'Cháo', 'Cá', 'Nghêu - Sò - Ốc', 'Súp', 'Mực', 'Salad', 'Chả giò', 'Gỏi', 'Đặc sản vùng', 'Ăn vặt - Ăn nhẹ', 'Rượu vang', 'Thức uống', 'Bia', 'Nước ngọt']",www.nhahangtuyetthanh.com,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
13,Quốc Triệu - Lệ Mật - Đặc Sản Rắn Và Thú Rừng,"74 Ngõ 161 Hoa Lâm, Quận Long Biên, Hà Nội",6.4,6,0,0,36,0,/ha-noi/quoc-trieu,21.055592,105.90023,0001-12-31T17:00:00Z,7.2,6.5,6.3,6.3,5.7,07:30,23:00,100.000đ - 330.000đ,6.0,0.0,4.0,1.0,1.0,quoc-trieu,,07:30 - 23:00,,10:30 PM,Khoảng 15 - 20 phút,Các ngày lễ trong năm,['Nhà hàng'],500 người lớn,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phương Nguyên - Không Gian Thơ Mộng,"51 - 53 Tô Ngọc Vân, Quận Tây Hồ, Hà Nội",7.2,17,0,0,99,0,/ha-noi/phuong-nguyen,21.067922,105.82131,0001-12-31T17:00:00Z,8.1,7.6,7.1,6.7,6.6,07:00,22:30,200.000đ - 440.000đ,17.0,1.0,12.0,3.0,1.0,phuong-nguyen,,07:00 - 22:30,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",10:00 PM,Khoảng 10 - 15 phút,Các ngày lễ trong năm,"['Nhà hàng', 'Tiệc cưới/Hội nghị']",500 người lớn,['Món Việt'],"['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Tiếp khách', 'Tổ chức tiệc cưới', 'Ngắm cảnh', 'Nghe nhạc']","['Thịt Gà', 'Tôm', 'Cua - Ghẹ', 'Bún', 'Thịt Bò', 'Thịt Heo', 'Hải sản', 'Bào Ngư', 'Vi Cá', 'Mì', 'Món nước', 'Cháo', 'Cá', 'Nghêu - Sò - Ốc', 'Súp', 'Mực', 'Salad', 'Chả giò', 'Gỏi', 'Món chay', 'Ăn vặt - Ăn nhẹ', 'Rượu vang', 'Thức uống', 'Bia', 'Nước ngọt']",www.nhahangphuongnguyen.com.vn,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
15,San Hô Đỏ,"135 Lương Định Của, Quận Đống Đa, Hà Nội",7.5,5,0,0,38,0,/ha-noi/san-ho-do,21.004969,105.835555,0001-12-31T17:00:00Z,8.0,7.8,7.6,7.2,7.0,08:00,22:00,300.000đ - 550.000đ,5.0,0.0,4.0,1.0,0.0,san-ho-do,,08:00 - 22:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 10 - 20 phút,Các ngày lễ trong năm,['Nhà hàng'],200 người lớn,['Món Việt'],"['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Tiếp khách', 'Ngắm cảnh', 'Nghe nhạc']","['Thịt Gà', 'Tôm', 'Cua - Ghẹ', 'Thịt Bò', 'Thịt Heo', 'Hải sản', 'Lẩu', 'Cháo', 'Cá', 'Nghêu - Sò - Ốc', 'Súp', 'Mực', 'Salad', 'Chả giò', 'Gỏi', 'Ăn vặt - Ăn nhẹ', 'Rượu vang', 'Thức uống', 'Bia', 'Nước ngọt']",www.sanhodo.net,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
16,Ofukuro - Tei - Ẩm Thực Nhật,"Tầng 1, Tòa Nhà V-Tower, 649 Kim Mã, Quận Ba Đình, Hà Nội",8.4,5,0,0,73,0,/ha-noi/ofukuro-tei-am-thuc-nhat,21.028851,105.805991,0001-12-31T17:00:00Z,9.0,8.6,8.4,8.2,7.8,11:00,22:30,100.000đ - 275.000đ,5.0,1.0,4.0,0.0,0.0,ofukuro-tei-am-thuc-nhat,,11:00 - 14:00 | 18:00 - 22:30,"['Buổi  trưa', 'Buổi  tối']",10:00 PM,Khoảng 5 - 7 phút,Các ngày lễ trong năm,['Nhà hàng'],80 người lớn,['Món Nhật'],"['Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Tiếp khách', 'Ngắm cảnh', 'Nghe nhạc']","['Thịt Gà', 'Tôm', 'Cua - Ghẹ', 'Thịt Bò', 'Thịt Heo', 'Hải sản', 'Món nước', 'Mì', 'Cá', 'Nghêu - Sò - Ốc', 'Súp', 'Mực', 'Salad', 'Ăn vặt - Ăn nhẹ', 'Rượu vang', 'Thức uống', 'Bia', 'Nước ngọt']",,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
17,Long Đình - Ẩm Thực Hồng Kông,"64B Quán Sứ, Quận Hoàn Kiếm, Hà Nội",7.4,64,0,0,411,0,/ha-noi/long-dinh,21.025518,105.845182,0001-12-31T17:00:00Z,7.8,7.8,7.7,7.2,6.6,10:00,22:00,100.000đ - 330.000đ,64.0,3.0,48.0,10.0,3.0,long-dinh,,10:00 - 22:00,"['Buổi  trưa', 'Buổi xế', 'Buổi  tối']",21:00,Khoảng 3 - 5 phút,Các ngày lễ trong năm,['Nhà hàng'],150 người lớn,['Món Trung Hoa'],"['Đãi tiệc', 'Ăn gia đình', 'Hẹn hò', 'Họp nhóm', 'Tiếp khách', 'Tiếp khách sang trọng']","['Thịt Gà', 'Tôm', 'Cua - Ghẹ', 'Thịt Bò', 'Xôi', 'Thịt Heo', 'Chè', 'Hải sản', 'Bào Ngư', 'Vi Cá', 'Món nước', 'Bánh bao', 'Mì', 'Cháo', 'Cá', 'Nghêu - Sò - Ốc', 'Súp', 'Mực', 'Thịt Vịt', 'Salad', 'Chả giò', 'Gỏi', 'Dimsum', 'Đặc sản vùng', 'Ăn vặt - Ăn nhẹ', 'Rượu vang', 'Thức uống', 'Bia', 'Nước ngọt', 'Trái cây']",www.longdinh.vn,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
18,Lẩu Sỹ Phú - Trúc Bạch,"5 Trúc Bạch, Quận Ba Đình, Hà Nội",7.8,8,0,0,34,0,/ha-noi/lau-sy-phu-truc-bach,21.04818,105.840993,0001-12-31T17:00:00Z,8.5,8.1,8.1,7.8,6.4,10:00,21:30,100.000đ - 220.000đ,8.0,0.0,8.0,0.0,0.0,lau-sy-phu-truc-bach,,16:30 - 21:30 | 10:00 - 14:00,"['Buổi  trưa', 'Buổi  tối']",09:00 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,['Nhà hàng'],100 người lớn,"['Món Việt', 'Món Nhật']",,"['Thịt Gà', 'Tôm', 'Cua - Ghẹ', 'Thịt Bò', 'Thịt Heo', 'Hải sản', 'Món nước', 'Mì', 'Cá', 'Nghêu - Sò - Ốc', 'Súp', 'Mực', 'Salad', 'Chả giò', 'Gỏi', 'Đặc sản vùng', 'Ăn vặt - Ăn nhẹ', 'Rượu vang', 'Thức uống', 'Bia', 'Nước ngọt']",,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Ngoại Ô Quán - Nguyễn Gia Thiều,"19 Nguyễn Gia Thiều, Quận Hoàn Kiếm, Hà Nội",6.7,6,0,0,53,0,/ha-noi/ngoai-o-quan-nguyen-gia-thieu,21.019962,105.84682,0001-12-31T17:00:00Z,7.7,7.2,6.5,6.3,6.0,08:00,22:00,30.000đ - 275.000đ,6.0,0.0,3.0,3.0,0.0,ngoai-o-quan-nguyen-gia-thieu,,08:00 - 22:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 10 - 15 phút,Các ngày lễ trong năm,['Nhà hàng'],100 người lớn,"['Món Việt', 'Món Bắc']","['Đãi tiệc', 'Ăn gia đình', 'Uống bia - Nhậu', 'Họp nhóm', 'Tiếp khách', 'Giao tận nơi', 'Tiệc ngoài trời', 'Ngắm cảnh', 'Takeaway - Mang về']","['Thịt Gà', 'Thịt Bò', 'Thịt Heo', 'Hải sản']",www.ngoaio.com.vn,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,Pizza Hoa Ý - Thành Công,"2 Thành Công, Quận Ba Đình, Hà Nội",6.3,23,0,0,77,0,/ha-noi/pizza-hoa-y-thanh-cong,21.019618,105.817169,0001-12-31T17:00:00Z,6.9,6.7,6.1,6.0,5.9,08:00,22:00,80.000đ - 110.000đ,23.0,0.0,10.0,11.0,2.0,pizza-hoa-y-thanh-cong,,08:00 - 22:00,"['Buổi sáng', 'Buổi  trưa', 'Buổi xế', 'Buổi  tối']",09:30 PM,Khoảng 3 - 5 phút,Các ngày lễ trong năm,['Nhà hàng'],100 người lớn,"['Món Âu', 'Ý']","['Ăn gia đình', 'Hẹn hò', 'Giao tận nơi']","['Thịt Bò', 'Thịt Heo', 'Beefsteak - Bò né', 'Sườn nướng', 'Pizza & Pasta']",www.pizzahoay.com,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
